n,df_coeffs,dg_coeffs
0,"[0.05411232733829143, 0.004021342842299817, 0.042301481927492224, 0.03018073446862191, 0.004085202579068633, 0.0007803573801678738]","[-0.08865434195083137, 0.0030657699013432434, -0.08452849390066793, -0.04183778173442995, -0.004932780433970386, -0.001106780127932881]"
1,"[0.05779492877048327, 0.004210389380045105, 0.04523142678801567, 0.03274898751487691, 0.004829718093144381, 0.0008472390842715685]","[-0.33473580373332257, 0.009043081942094062, -0.316331183444999, -0.15018353266797244, -0.019369454284050003, -0.003636399627355056]"
2,"[0.09026097387512981, 0.004452772751404451, 0.07630285242031065, 0.0486991372725663, 0.008475947672685434, 0.0011408039671484415]","[-0.8155164094987493, 0.014631430488376321, -0.761436755848622, -0.3422311131790118, -0.04887012746669841, -0.007162320136334]"
